Epoch 8: pi_loss 2.2361, v_loss 0.3864
Epoch 9: pi_loss 2.0913, v_loss 0.3222
Epoch 10: pi_loss 1.9342, v_loss 0.2743
Epoch 1: pi_loss 2.1782, v_loss 0.5881
Epoch 2: pi_loss 1.9883, v_loss 0.4118
Epoch 3: pi_loss 1.7933, v_loss 0.3229
Epoch 4: pi_loss 1.5865, v_loss 0.2686
Epoch 5: pi_loss 1.3733, v_loss 0.2347
Epoch 6: pi_loss 1.1776, v_loss 0.2103
Epoch 7: pi_loss 1.0357, v_loss 0.1988
Epoch 8: pi_loss 0.9313, v_loss 0.1865
Epoch 9: pi_loss 0.8508, v_loss 0.1766
Epoch 10: pi_loss 0.8024, v_loss 0.1730
Epoch 1: pi_loss 1.4593, v_loss 0.4274
Epoch 2: pi_loss 1.1691, v_loss 0.2764
Epoch 3: pi_loss 0.9720, v_loss 0.2275
Epoch 4: pi_loss 0.8489, v_loss 0.2032
Epoch 5: pi_loss 0.7745, v_loss 0.1899
Epoch 6: pi_loss 0.7246, v_loss 0.1799
Epoch 7: pi_loss 0.6945, v_loss 0.1751
Epoch 8: pi_loss 0.6635, v_loss 0.1709
Epoch 9: pi_loss 0.6395, v_loss 0.1629
Epoch 10: pi_loss 0.6240, v_loss 0.1618
Epoch 1: pi_loss 1.1824, v_loss 0.3439
Epoch 2: pi_loss 0.9096, v_loss 0.2348
Epoch 3: pi_loss 0.7559, v_loss 0.2022
Epoch 4: pi_loss 0.6820, v_loss 0.1868
Epoch 5: pi_loss 0.6398, v_loss 0.1778
Epoch 6: pi_loss 0.6107, v_loss 0.1725
Epoch 7: pi_loss 0.5915, v_loss 0.1670
Epoch 8: pi_loss 0.5737, v_loss 0.1638
Epoch 9: pi_loss 0.5615, v_loss 0.1601
Epoch 10: pi_loss 0.5455, v_loss 0.1556
Epoch 1: pi_loss 1.0068, v_loss 0.3118
Epoch 2: pi_loss 0.7602, v_loss 0.2205
Epoch 3: pi_loss 0.6446, v_loss 0.1942
Epoch 4: pi_loss 0.5906, v_loss 0.1823
Epoch 5: pi_loss 0.5650, v_loss 0.1729
Epoch 6: pi_loss 0.5473, v_loss 0.1701
Epoch 7: pi_loss 0.5329, v_loss 0.1646
Epoch 8: pi_loss 0.5199, v_loss 0.1616
Epoch 9: pi_loss 0.5106, v_loss 0.1594
Epoch 10: pi_loss 0.4999, v_loss 0.1570
Epoch 1: pi_loss 0.8920, v_loss 0.2914
Epoch 2: pi_loss 0.6737, v_loss 0.2090
Epoch 3: pi_loss 0.5734, v_loss 0.1865
Epoch 4: pi_loss 0.5340, v_loss 0.1763
Epoch 5: pi_loss 0.5171, v_loss 0.1694
Epoch 6: pi_loss 0.5007, v_loss 0.1650
Epoch 7: pi_loss 0.4926, v_loss 0.1634
Epoch 8: pi_loss 0.4837, v_loss 0.1600
Epoch 9: pi_loss 0.4754, v_loss 0.1584
Epoch 10: pi_loss 0.4667, v_loss 0.1556
Epoch 1: pi_loss 1.1183, v_loss 0.3677
Epoch 2: pi_loss 0.8472, v_loss 0.2503
Epoch 3: pi_loss 0.6828, v_loss 0.2114
Epoch 4: pi_loss 0.6040, v_loss 0.1956
Epoch 5: pi_loss 0.5633, v_loss 0.1867
Epoch 6: pi_loss 0.5400, v_loss 0.1812
Epoch 7: pi_loss 0.5219, v_loss 0.1754
Epoch 8: pi_loss 0.5077, v_loss 0.1721
Epoch 9: pi_loss 0.4984, v_loss 0.1712
Epoch 10: pi_loss 0.4874, v_loss 0.1665
Epoch 1: pi_loss 1.2746, v_loss 0.4292
Epoch 2: pi_loss 0.9840, v_loss 0.2849
Epoch 3: pi_loss 0.7819, v_loss 0.2340
Epoch 4: pi_loss 0.6704, v_loss 0.2118
Epoch 5: pi_loss 0.6109, v_loss 0.1997
Epoch 6: pi_loss 0.5754, v_loss 0.1923
Epoch 7: pi_loss 0.5507, v_loss 0.1871
Epoch 8: pi_loss 0.5318, v_loss 0.1813
Epoch 9: pi_loss 0.5177, v_loss 0.1776
Epoch 10: pi_loss 0.5053, v_loss 0.1743
Epoch 1: pi_loss 0.7829, v_loss 0.2571
Epoch 2: pi_loss 0.6128, v_loss 0.2078
Epoch 3: pi_loss 0.5420, v_loss 0.1919
Epoch 4: pi_loss 0.5155, v_loss 0.1827
Epoch 5: pi_loss 0.4995, v_loss 0.1789
Epoch 6: pi_loss 0.4861, v_loss 0.1748
Epoch 7: pi_loss 0.4789, v_loss 0.1718
Epoch 8: pi_loss 0.4703, v_loss 0.1693
Epoch 9: pi_loss 0.4614, v_loss 0.1675
Epoch 10: pi_loss 0.4559, v_loss 0.1654
Epoch 1: pi_loss 0.9706, v_loss 0.3203
Epoch 2: pi_loss 0.7406, v_loss 0.2398
Epoch 3: pi_loss 0.6210, v_loss 0.2119
Epoch 4: pi_loss 0.5655, v_loss 0.2001
Epoch 5: pi_loss 0.5368, v_loss 0.1923
Epoch 6: pi_loss 0.5202, v_loss 0.1873
Epoch 7: pi_loss 0.5051, v_loss 0.1825
Epoch 8: pi_loss 0.4948, v_loss 0.1794
Epoch 9: pi_loss 0.4835, v_loss 0.1770
Epoch 10: pi_loss 0.4732, v_loss 0.1741
Epoch 1: pi_loss 0.7066, v_loss 0.2365
Epoch 2: pi_loss 0.5608, v_loss 0.1971
Epoch 3: pi_loss 0.5064, v_loss 0.1844
Epoch 4: pi_loss 0.4858, v_loss 0.1784
Epoch 5: pi_loss 0.4743, v_loss 0.1740
Epoch 6: pi_loss 0.4641, v_loss 0.1719
Epoch 7: pi_loss 0.4573, v_loss 0.1691
Epoch 8: pi_loss 0.4498, v_loss 0.1674
Epoch 9: pi_loss 0.4448, v_loss 0.1655
Epoch 10: pi_loss 0.4393, v_loss 0.1638
Epoch 1: pi_loss 0.8718, v_loss 0.2880
Epoch 2: pi_loss 0.6659, v_loss 0.2213
Epoch 3: pi_loss 0.5656, v_loss 0.1998
Epoch 4: pi_loss 0.5241, v_loss 0.1898
Epoch 5: pi_loss 0.5042, v_loss 0.1839
Epoch 6: pi_loss 0.4892, v_loss 0.1791
Epoch 7: pi_loss 0.4794, v_loss 0.1770
Epoch 8: pi_loss 0.4694, v_loss 0.1730
Epoch 9: pi_loss 0.4617, v_loss 0.1719
Epoch 10: pi_loss 0.4549, v_loss 0.1698
Epoch 1: pi_loss 1.0017, v_loss 0.3340
Epoch 2: pi_loss 0.7646, v_loss 0.2437
Epoch 3: pi_loss 0.6275, v_loss 0.2147
Epoch 4: pi_loss 0.5675, v_loss 0.2011
Epoch 5: pi_loss 0.5347, v_loss 0.1944
Epoch 6: pi_loss 0.5151, v_loss 0.1886
Epoch 7: pi_loss 0.4997, v_loss 0.1842
Epoch 8: pi_loss 0.4889, v_loss 0.1812
Epoch 9: pi_loss 0.4787, v_loss 0.1779
Epoch 10: pi_loss 0.4700, v_loss 0.1758
Epoch 1: pi_loss 0.6571, v_loss 0.2340
Epoch 2: pi_loss 0.5342, v_loss 0.1990
Epoch 3: pi_loss 0.4911, v_loss 0.1880
Epoch 4: pi_loss 0.4748, v_loss 0.1819
Epoch 5: pi_loss 0.4638, v_loss 0.1785
Epoch 6: pi_loss 0.4566, v_loss 0.1747
Epoch 7: pi_loss 0.4495, v_loss 0.1727
Epoch 8: pi_loss 0.4444, v_loss 0.1704
Epoch 9: pi_loss 0.4369, v_loss 0.1691
Epoch 10: pi_loss 0.4330, v_loss 0.1676
Epoch 1: pi_loss 0.7943, v_loss 0.2854
Epoch 2: pi_loss 0.6165, v_loss 0.2247
Epoch 3: pi_loss 0.5378, v_loss 0.2040
Epoch 4: pi_loss 0.5063, v_loss 0.1936
Epoch 5: pi_loss 0.4899, v_loss 0.1886
Epoch 6: pi_loss 0.4774, v_loss 0.1838
Epoch 7: pi_loss 0.4670, v_loss 0.1805
Epoch 8: pi_loss 0.4601, v_loss 0.1778
Epoch 9: pi_loss 0.4530, v_loss 0.1756
Epoch 10: pi_loss 0.4464, v_loss 0.1736
Epoch 1: pi_loss 0.9066, v_loss 0.3222
Epoch 2: pi_loss 0.6960, v_loss 0.2431
Epoch 3: pi_loss 0.5881, v_loss 0.2153
Epoch 4: pi_loss 0.5397, v_loss 0.2031
Epoch 5: pi_loss 0.5154, v_loss 0.1961
Epoch 6: pi_loss 0.4980, v_loss 0.1908
Epoch 7: pi_loss 0.4870, v_loss 0.1862
Epoch 8: pi_loss 0.4761, v_loss 0.1837
Epoch 9: pi_loss 0.4675, v_loss 0.1812
Epoch 10: pi_loss 0.4598, v_loss 0.1777
Epoch 1: pi_loss 0.9982, v_loss 0.3577
Epoch 2: pi_loss 0.7672, v_loss 0.2637
Epoch 3: pi_loss 0.6351, v_loss 0.2302
